etat;score;fiche;type;producteur;millesime;tarif retenu;prix;autre candidat;prix autre
doute;0.59;Vinos del Paseante La Gresca Cava Brut;bulles;Vinos del Paseante / Raventós Codorníu.;;Vinos Del Paseante - La Gresca;13.00;;
aucun;0.00;Z de Zéro 2024;bulles;Pétillant désalcoolisé — Viognier & Sauvignon.;2024;;;"Domaine Les Fumées Blanches - Blanc Zero - IGP Côtes De Gascogne ""Zero"" 75 Cl";12.00
doute;0.49;MIEL DE BOURGOGNE;epicerie;Domaine du Château Philippe le Hardi.;;Miel Pot De 130 Gr;12.00;;
doute;0.61;PUR JUS DE RAISINS - CARIGNAN;epicerie;;;Jus De Raisin Carignan Rouge 50Cl;7.90;;
doute;0.58;PUR JUS DE RAISINS - GRENACHE;epicerie;;;Jus De Raisin Grenache Rouge 25Cl;3.50;Jus De Raisin Carignan Rouge 50Cl;7.90
doute;0.56;PUR JUS DE RAISINS - SAUVIGNON;epicerie;;;Jus De Raisin Sauvignon Blanc 50Cl;6.00;Jus De Raisin Carignan Rouge 50Cl;7.90
doute;0.59;PUR JUS DE RAISINS - SYRAH;epicerie;;;Jus De Raisin Syrah Rouge 25Cl;3.50;;
doute;1.00;VERGER DE THAU;epicerie;VERGER DE THAU.;;Les Vergers De Thau Jus D'Abricot;2.80;Les Vergers De Thau Jus De Tomate;2.80
sur;1.00;VERGER DE THAU - JUS DE PÊCHE;epicerie;Verger de Thau.;;Les Vergers De Thau Jus De Peche;2.80;;
doute;0.73;VERGER DE THAU - JUS DE RAISIN;epicerie;Verger de Thau.;;Les Vergers De Thau Jus De Poire;2.80;Les Vergers De Thau Jus De Tomate;2.80
aucun;0.00;MACVIN DU JURA;moelleux;Le Clos des Grives.;;;;;
sur;0.99;Madame de Rayne — Sauternes;moelleux;Château de Rayne Vigneau.;;Madame De Rayne 2015 C6 AOC Sauterne Blanc - Blanc - France;30.00;;
doute;0.62;Canio Rosato Basilicata IGP 2024;rose;Vigneti del Vulture.;;"Fantini Group Farnese - Rose - ""Canio Rosato"" Basilicata Rosato 75 Cl";18.00;;
sur;1.00;Cuvée G Rosé;rose;Vignobles Gueissard.;2025;"Domaine Gueissard - Rose - Cotes De Provence ""Cuvée G"" 75Cl";16.00;"Domaine Gueissard - Rose - Cotes De Provence ""Cuvée G"" Magnum 150Cl";37.00
sur;1.00;Domaine Gueissard - Bandol Rosé;rose;Vignobles Gueissard.;2024;Domaine Gueissard - Rose - Bandol 2024 75 Cl;21.00;;
doute;0.57;Fontanilles Rosé 2024;rose;Le Cellier du Pic · IGP Pays d’Oc.;2024;"Le Cellier Du Pic - Rose - ""Fontanille"" 75Cl";7.00;;
